# source: https://en.wikipedia.org/wiki/Prices_of_chemical_elements (2020-09-08)
Z,Symbol,Name,Density [kg/L],Abundance in Earth's crust [mg/kg],Price [USD/kg],Price [USD/L],Year,Source,Notes
87,Fr,Francium,1.87,~ 1e-18[i],Not traded.,,,,"Only quantities of the order of millions of atoms have been obtained for research.[59] Most stable isotope, 223Fr, has half-life of 22 minutes. Francium has no commercial or medical uses.[58]"
88,Ra,Radium,5.5,9e-7[i],Negative price.,,,,"Radium was historically used in the treatment of cancer, but stopped being used when more effective treatments were introduced. As medical facilities had to pay for its disposal, its price can be considered negative.[60]"
89,225Ac,Actinium-225,10.07,,29e12,290e12,2004[j],CRC Handbook (ORNL)[n],
90,Th,Thorium,11.72,9.6,287,3360,2010,USGS MYB 2012[61],"As 99.9% pure thorium oxide, price per thorium contained. Free on Board port of entry, duty paid."
91,Pa,Protactinium,15.37,1.4e-6[i],No reliable price available.,,,,"In 1959–1961 Great Britain Atomic Energy Authority produced 125 g of 99.9% pure protactinium at a cost of $500000, giving the cost of 4000000 USD per kg.[42] Periodic Table of Elements at Los Alamos National Laboratory website at one point listed protactinium-231 as available from Oak Ridge National Laboratory at a price of 280000 USD/kg.[62]"
92,U,Uranium,18.95,2.7,101,1910,2018,EIA Uranium Marketing[63],
See also: Uranium market,,,,,,,,,
"Mainly as triuranium octoxide, price per uranium contained.",,,,,,,,,
93,Np,Neptunium,20.45,≤ 3e-12[i],660000,13500000,2003[j],Pomona[64],Periodic Table published by Pomona College Chemistry Department lists neptunium-237 as available from Oak Ridge National Laboratory at 660 USD/g plus packing costs.
94,239Pu,Plutonium-239,19.84,,6490000,129000000,2019,DOE OSTI[65],"Certified reference material sample in the form of plutonium(IV) oxide, price per plutonium-239 contained."
95,241Am,Americium-241,13.69,0,728000,9970000,1998,NWA[66][o],Available from Oak Ridge National Laboratory as reported in Nuclear Weapons FAQ.
95,243Am,Americium-243,13.69,0,750000,10300000,2004[j],CRC Handbook (ORNL)[n],
96,244Cm,Curium-244,13.51,0,185000000,2.50e9,2004[j],CRC Handbook (ORNL)[n],
96,248Cm,Curium-248,13.51,0,160e9,2.16e12,2004[j],CRC Handbook (ORNL)[n],
97,249Bk,Berkelium-249,14.79,0,185e9,2.74e12,2004[j],CRC Handbook (ORNL)[n],
98,249Cf,Californium-249,15.1,0,185e9,2.79e12,2004[j],CRC Handbook (ORNL)[n],
98,252Cf,Californium-252,15.1,0,60.0e9,906e9,2004[j],CRC Handbook (ORNL)[n],
99,Es,Einsteinium,8.84,0,Not traded.,,,,Only microgram quantities have ever been produced.[42] Most stable known isotope has half-life of 471.7 days.
100,Fm,Fermium,(9.7),0,Not traded.,,,,Only tracer amounts have ever been produced.[42][67]:13.2.6. Most stable known isotope has half-life of 100.5 days.
101,Md,Mendelevium,(10.3),0,Not traded.,,,,Only around 106 atoms have been produced in experiments.[67]:13.3.6. Most stable known isotope isotope has half-life of 51 days.
102,No,Nobelium,(9.9),0,Not traded.,,,,Only around 105 atoms have been produced in experiments.[67]:13.4.6. Most stable known isotope has half-life of 58 minutes.
103,Lr,Lawrencium,(15.6),0,Not traded.,,,,Only around 1000 atoms have been produced in experiments.[67]:13.5.6. Most stable known isotope has half-life of 11 hours.
104,Rf,Rutherfordium,(23.2),0,Not traded.,,,,Only a few thousand atoms have been produced in experiments.[42] Most stable known isotope has half-life of 2.5 hours.
105,Db,Dubnium,(29.3),0,Not traded.,,,,Atoms of dubnium have been prepared experimentally at a rate of at most one per minute.[68] Most stable known isotope has half-life of 29 hours.
106,Sg,Seaborgium,(35.0),0,Not traded.,,,,Only tens of atoms have been produced in experiments.[69] The most stable known isotope has half-life of 14 minutes.
107,Bh,Bohrium,(37.1),0,Not traded.,,,,Only tens of atoms have been produced in experiments.[70] Most stable known isotope has half-life of 1 minute.
108,Hs,Hassium,(40.7),0,Not traded.,,,,Only tens of atoms have been produced in experiments.[70] Most stable known isotope has half-life of 16 seconds.
109,Mt,Meitnerium,(37.4),0,Not traded.,,,,Only produced in experiments on a per-atom basis.[71] Most stable known isotope has half-life of 8 seconds.
110,Ds,Darmstadtium,(34.8),0,Not traded.,,,,Only produced in experiments on a per-atom basis.[71] Most stable known isotope has half-life of 9.6 seconds.
111,Rg,Roentgenium,(28.7),0,Not traded.,,,,Only produced in experiments on a per-atom basis.[71] Most stable known isotope has half-life of 2.1 minutes.
112,Cn,Copernicium,(14.0),0,Not traded.,,,,Only tens of atoms have been produced in experiments.[70] Most stable known isotope has half-life of 29 seconds.
113,Nh,Nihonium,(16),0,Not traded.,,,,"As of 2015, less than 100 atoms have been produced in experiments.[72] Most stable known isotope has half-life of 8 seconds."
114,Fl,Flerovium,(14),0,Not traded.,,,,"As of 2015, less than 100 atoms have been produced in experiments.[72] Most stable known isotope has half-life of 1.9 seconds."
115,Mc,Moscovium,(13.5),0,Not traded.,,,,"As of 2015, less than 100 atoms have been produced in experiments.[72] Most stable known isotope has half-life of 0.65 seconds."
116,Lv,Livermorium,(12.9),0,Not traded.,,,,"As of 2015, less than 100 atoms have been produced in experiments.[72] Most stable known isotope has half-life of 53 ms."
117,Ts,Tennessine,(7.2),0,Not traded.,,,,"As of 2015, less than 100 atoms have been produced in experiments.[72] Most stable known isotope has half-life of 51 ms."
118,Og,Oganesson,(5.0),0,Not traded.,,,,"As of 2015, less than ten atoms have been produced in experiments.[72] Most stable known isotope has half-life of 0.7 ms."
